Rank,Full Journal Title,JCR Abbreviated Title,Total Cites,Journal Impact Factor,Citable Items,Eigenfactor Score
50,Social Semiotics,SOC SEMIOT,344,0.484,31,0.00072
52,Communication Culture & Critique,COMMUN CULT CRIT,209,0.448,32,0.00071
53,Journal of Media Psychology-Theories Methods and Applications,J MEDIA PSYCHOL-GER,292,1.057,17,0.00068
53,Media International Australia,MEDIA INT AUST,264,0.346,51,0.00068
55,Communication and Critical-Cultural Studies,COMMUN CRIT-CULT STU,249,0.767,23,0.00067
56,Interaction Studies,INTERACT STUD,370,0.958,12,0.00066
57,Comunicar,COMUNICAR,641,2.212,40,0.00065
58,Discourse Context & Media,DISCOURSE CONTEXT ME,89,1,40,0.00059
59,Asian Journal of Communication,ASIAN J COMMUN,347,0.638,33,0.00057
60,CRITICAL STUDIES IN MEDIA COMMUNICATION,CRIT STUD MEDIA COMM,448,0.881,34,0.00055
61,IEEE TRANSACTIONS ON PROFESSIONAL COMMUNICATION,IEEE T PROF COMMUN,515,2.184,25,0.00047
62,Communications-European Journal of Communication Research,COMMUNICATIONS-GER,340,0.933,20,0.00046
63,Ecquid Novi-African Journalism Studies,ECQUID NOVI-AFR JOUR,153,1.056,0,0.00045
64,Chinese Journal of Communication,CHIN J COMMUN,129,0.562,23,0.00043
64,NARRATIVE INQUIRY,NARRAT INQ,379,0.317,8,0.00043
66,Games and Culture,GAMES CULT,436,1.109,32,0.00041
67,Journal of Mass Media Ethics,J MASS MEDIA ETHICS,243,0.419,16,0.00037
68,TECHNICAL COMMUNICATION,TECH COMMUN-STC,615,2.1,16,0.00034
69,JAVNOST-THE PUBLIC,JAVNOST-PUBLIC,191,0.413,25,0.00033
70,Argumentation,ARGUMENTATION,324,0.689,22,0.00031
71,Rhetoric Society Quarterly,RHETOR SOC Q,204,0.333,23,0.0003
72,INTERNATIONAL JOURNAL OF CONFLICT MANAGEMENT,INT J CONFL MANAGE,652,0.786,26,0.00029
73,Translator,TRANSLATOR,236,0.686,17,0.00028
74,QUARTERLY JOURNAL OF SPEECH,Q J SPEECH,737,0.46,18,0.00027
75,JOURNAL OF BUSINESS AND TECHNICAL COMMUNICATION,J BUS TECH COMMUN,243,1.062,15,0.00026
76,Journal of African Media Studies,J AFR MEDIA STUD,66,0.154,22,0.00018
77,JOURNAL OF MEDIA ECONOMICS,J MEDIA ECON,187,0.217,12,0.00017
78,Tijdschrift voor Communicatiewetenschap,TIJDSCHR COMMUNWET,42,0.171,17,0.00007
79,African Journalism Studies,AFR JOURNAL STUD,12,0.171,27,0.00002
